FID,lat_gcj,lon_gcj,is_informalsettlement
0,113.291171,22.75718519,1
1,113.2913511,22.75718525,1
2,113.2915312,22.75718532,1
3,113.2908107,22.75736537,1
4,113.2909908,22.75736543,1
5,113.2911709,22.75736549,1
6,113.2913511,22.75736556,1
7,113.2915312,22.75736562,1
8,113.2909908,22.75754574,1
9,113.2911709,22.7575458,1
10,113.291351,22.75754587,1
11,113.2915311,22.75754593,1
12,113.2909907,22.75772605,1
13,113.2911708,22.75772611,1
14,113.2913509,22.75772618,1
15,113.291531,22.75772624,1
16,113.2909906,22.75790636,1
17,113.2911707,22.75790643,1
18,113.2913508,22.75790649,1
19,113.291531,22.75790655,1
20,113.2655942,22.75843827,0
21,113.2657743,22.75843834,0
22,113.2659544,22.7584384,0
23,113.2655941,22.7586186,0
24,113.2657742,22.75861866,0
25,113.2659544,22.75861873,0
26,113.265594,22.75879893,0
27,113.2657742,22.75879899,0
28,113.2425376,22.76131561,0
29,113.2427177,22.76131568,0
30,113.2428978,22.76131574,0
31,113.2425375,22.76149598,0
32,113.2427176,22.76149605,0
33,113.2428977,22.76149611,0
34,113.2425374,22.76167636,0
35,113.2427175,22.76167642,0
36,113.2428976,22.76167649,0
37,113.2425373,22.76185674,0
38,113.2427174,22.7618568,0
39,113.2405556,22.76239718,0
40,113.2407357,22.76239725,0
41,113.2409159,22.76239731,0
42,113.241096,22.76239738,0
43,113.2405555,22.76257757,0
44,113.2407356,22.76257764,0
45,113.2409158,22.7625777,0
46,113.2410959,22.76257777,0
47,113.2407355,22.76275803,0
48,113.2409157,22.76275809,0
49,113.2410958,22.76275816,0
50,113.3192554,22.77542018,1
51,113.3190751,22.77560069,1
52,113.3192553,22.77560076,1
53,113.3194354,22.77560082,1
54,113.319075,22.77578128,1
55,113.3192551,22.77578134,1
56,113.2639062,22.81318462,0
57,113.2637258,22.81336548,0
58,113.2639059,22.81336554,0
59,113.264086,22.8133656,0
60,113.2642661,22.81336567,0
61,113.2637255,22.8135464,0
62,113.2639056,22.81354646,0
63,113.2640857,22.81354653,0
64,113.2642658,22.81354659,0
65,113.263545,22.81372726,0
66,113.2637251,22.81372732,0
67,113.2639053,22.81372738,0
68,113.2640854,22.81372745,0
69,113.2642655,22.81372751,0
70,113.2639049,22.81390831,0
71,113.2640851,22.81390837,0
72,113.2619227,22.81445039,0
73,113.2617422,22.81463125,0
74,113.2619224,22.81463132,0
75,113.2621025,22.81463138,0
76,113.2621022,22.8148123,0
77,113.2702039,22.81680533,0
78,113.270384,22.81680539,0
79,113.2705641,22.81680546,0
80,113.2707443,22.81680552,0
81,113.2702036,22.81698626,0
82,113.2703837,22.81698632,0
83,113.2705638,22.81698639,0
84,113.2707439,22.81698645,0
85,113.2702033,22.81716719,0
86,113.2703834,22.81716725,0
87,113.2705635,22.81716732,0
88,113.2707436,22.81716738,0
89,113.2702029,22.81734812,0
90,113.2703831,22.81734818,0
91,113.2705632,22.81734825,0
92,113.2707433,22.81734831,0
93,113.2702026,22.81752905,0
94,113.2703827,22.81752912,0
95,113.2705629,22.81752918,0
96,113.270743,22.81752924,0
97,113.2702023,22.81770999,0
98,113.2703824,22.81771005,0
99,113.2705625,22.81771011,0
100,113.2707427,22.81771017,0
101,113.2593788,22.82693392,1
102,113.0425237,22.84364694,1
103,113.0427038,22.84364701,1
104,113.0428839,22.84364707,1
105,113.0430641,22.84364713,1
106,113.0432442,22.8436472,1
107,113.0425234,22.84382781,1
108,113.0427035,22.84382787,1
109,113.0428837,22.84382794,1
110,113.0430638,22.843828,1
111,113.0432439,22.84382806,1
112,113.0427032,22.84400874,1
113,113.0428834,22.8440088,1
114,113.0430635,22.84400886,1
115,113.0432436,22.84400892,1
116,113.0443225,22.8452753,1
117,113.0445026,22.84527537,1
118,113.0446827,22.84527543,1
119,113.0448629,22.84527549,1
120,113.0443222,22.84545616,1
121,113.0445023,22.84545622,1
122,113.0446825,22.84545628,1
123,113.0441417,22.84563694,1
124,113.0443219,22.84563701,1
125,113.044502,22.84563707,1
126,113.0446822,22.84563713,1
127,113.0443216,22.84581786,1
128,113.0445017,22.84581792,1
129,113.0446819,22.84581798,1
130,113.1286098,22.85759841,1
131,113.12879,22.85759848,1
132,113.1286096,22.85777914,1
133,113.1287897,22.8577792,1
134,113.1287895,22.85795993,1
135,113.1289696,22.85795999,1
136,113.1275271,22.85904379,1
137,113.1275269,22.8592245,1
138,113.0894222,23.00280564,0
139,113.0896024,23.00280571,0
140,113.0897825,23.00280577,0
141,113.0899626,23.00280584,0
142,113.0892426,23.00298428,0
143,113.0894228,23.00298434,0
144,113.0896029,23.00298441,0
145,113.1338457,23.01519002,1
146,113.1340258,23.01519008,1
147,113.143573,23.01519354,0
148,113.1336661,23.01536873,1
149,113.1338462,23.01536879,1
150,113.1340264,23.01536886,1
151,113.1435735,23.01537232,0
152,113.1437537,23.01537238,0
153,113.1336666,23.0155475,1
154,113.1338467,23.01554757,1
155,113.1340269,23.01554763,1
156,113.1435741,23.01555109,0
157,113.1437542,23.01555116,0
158,113.1336671,23.01572628,1
159,113.2053649,23.01754008,0
160,113.205545,23.01754015,0
161,113.1794268,23.01770951,0
162,113.1796069,23.01770957,0
163,113.1797871,23.01770964,0
164,113.1799672,23.0177097,0
165,113.2053654,23.01771888,0
166,113.2055455,23.01771895,0
167,113.2057256,23.01771901,0
168,113.2059058,23.01771908,0
169,113.2060859,23.01771914,0
170,113.1794273,23.0178883,0
171,113.1796074,23.01788837,0
172,113.1797876,23.01788843,0
173,113.2053659,23.01789768,0
174,113.205546,23.01789774,0
175,113.2057262,23.01789781,0
176,113.2059063,23.01789787,0
177,113.2060864,23.01789794,0
178,113.2057267,23.01807661,0
179,113.2059068,23.01807667,0
180,113.1806898,23.01842516,1
181,113.18033,23.01860383,1
182,113.1805102,23.0186039,1
183,113.1806903,23.01860396,1
184,113.1805137,23.01985557,0
185,113.1806939,23.01985563,0
186,113.180874,23.0198557,0
187,113.1810541,23.01985576,0
188,113.1925825,23.01985994,0
189,113.1927626,23.01986,0
190,113.192583,23.02003876,0
191,113.1927631,23.02003882,0
192,113.1630435,23.02074333,0
193,113.1625036,23.02092196,0
194,113.1626837,23.02092202,0
195,113.1628639,23.02092209,0
196,113.163044,23.02092215,0
197,113.1632241,23.02092222,0
198,113.1626842,23.02110085,0
199,113.1628644,23.02110091,0
200,113.1630445,23.02110098,0
201,113.1632246,23.02110104,0
202,113.1626848,23.02127968,0
203,113.0467885,23.02298992,0
204,113.0469687,23.02298998,0
205,113.0471488,23.02299005,0
206,113.046789,23.02316876,0
207,113.0469692,23.02316883,0
208,113.0471493,23.02316889,0
209,113.0467895,23.0233476,0
210,113.0469697,23.02334767,0
211,113.0471498,23.02334774,0
212,113.1625106,23.02342569,0
213,113.1626908,23.02342575,0
214,113.1628709,23.02342582,0
215,113.163051,23.02342588,0
216,113.1625111,23.02360454,0
217,113.1626912,23.0236046,0
218,113.1628714,23.02360467,0
219,113.1630515,23.02360473,0
220,113.1625116,23.02378339,0
221,113.1626917,23.02378346,0
222,113.1628719,23.02378352,0
223,113.163052,23.02378359,0
224,113.0480549,23.02495775,0
225,113.0482351,23.02495782,0
226,113.0480554,23.02513661,0
227,113.0482356,23.02513668,0
228,113.0484157,23.02513675,0
229,113.0485959,23.02513681,0
230,113.184861,23.02862135,0
231,113.1850411,23.02862142,0
232,113.1848615,23.02880026,0
233,113.1850416,23.02880033,0
234,113.1848619,23.02897918,0
235,113.1850421,23.02897924,0
236,113.1848624,23.02915809,0
237,113.1850425,23.02915816,0
238,113.1848629,23.02933701,0
239,113.074375,23.03230264,0
240,113.0745552,23.0323027,0
241,113.0741953,23.03248153,0
242,113.0743755,23.03248159,0
243,113.0745556,23.03248166,0
244,113.0741958,23.03266048,0
245,113.0743759,23.03266055,0
246,113.0745561,23.03266062,0
247,113.0741962,23.03283945,0
248,113.0743764,23.03283951,0
249,113.0745565,23.03283958,0
250,113.0741967,23.03301841,0
251,113.0743768,23.03301848,0
252,113.074557,23.03301854,0
253,113.1537215,23.03791651,0
254,113.1535417,23.03809548,0
255,113.1537219,23.03809554,0
256,113.153902,23.03809561,0
257,113.1535422,23.03827452,0
258,113.1537223,23.03827459,0
259,113.1539024,23.03827465,0
260,113.1537227,23.03845363,0
261,113.1687072,23.05476454,0
262,113.1688873,23.0547646,0
263,113.1690675,23.05476467,0
264,113.1692476,23.05476474,0
265,113.1694277,23.05476481,0
266,113.1687075,23.05494386,0
267,113.1688877,23.05494393,0
268,113.1690678,23.054944,0
269,113.1692479,23.05494406,0
270,113.1685277,23.05512313,0
271,113.1687078,23.05512319,0
272,113.168888,23.05512326,0
273,113.1690681,23.05512333,0
274,113.1692482,23.05512339,0
275,113.168528,23.05530246,0
276,113.1687081,23.05530253,0
277,113.1688883,23.05530259,0
278,113.1690684,23.05530266,0
279,113.1692485,23.05530273,0
280,113.1685283,23.0554818,0
281,113.1687084,23.05548186,0
282,113.1688886,23.05548193,0
283,113.1690687,23.055482,0
284,113.1692488,23.05548206,0
285,113.1325017,23.05564777,1
286,113.1685286,23.05566113,0
287,113.1687088,23.0556612,0
288,113.1688889,23.05566127,0
289,113.169069,23.05566133,0
290,113.1692491,23.0556614,0
291,113.1323219,23.05582705,1
292,113.132502,23.05582711,1
293,113.1326822,23.05582718,1
294,113.1323222,23.05600639,1
295,113.1325023,23.05600646,1
296,113.1326825,23.05600652,1
297,113.1332241,23.05672414,1
